mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.3298396196263827,0.94,0.5,0.25902335456475584,0.9634146341463414,0.0775269872423945,79,0.2992957746478873,177,0.17369970559371933,1019
0.3649321565675031,0.94,0.5,0.2356687898089172,0.9634146341463414,0.1018041237113402,79,0.27992957746478875,167,0.21520618556701032,776
0.3946823486129911,0.93,0.5,0.22717622080679406,0.9634146341463414,0.12363067292644757,79,0.272887323943662,162,0.2535211267605634,639
0.4286547318420392,0.93,0.49056603773584906,0.20382165605095542,0.9634146341463414,0.14337568058076225,79,0.2517605633802817,150,0.27223230490018147,551
0.4540215445209307,0.93,0.4811320754716981,0.19532908704883228,0.9634146341463414,0.16122448979591836,79,0.24295774647887325,145,0.29591836734693877,490
0.4820898548230014,0.92,0.4716981132075472,0.1910828025477707,0.9512195121951219,0.17647058823529413,78,0.23591549295774647,141,0.3190045248868778,442
0.5250875066947522,0.91,0.44339622641509435,0.18046709129511676,0.9390243902439024,0.19794344473007713,77,0.22535211267605634,135,0.34704370179948585,389
0.5433462139625709,0.88,0.44339622641509435,0.17197452229299362,0.9024390243902439,0.21203438395415472,74,0.21654929577464788,131,0.3753581661891118,349
0.5682934367276672,0.88,0.44339622641509435,0.16772823779193205,0.9024390243902439,0.23270440251572327,74,0.2130281690140845,129,0.4056603773584906,318
0.5954630991483735,0.86,0.42452830188679247,0.15498938428874734,0.8780487804878049,0.26373626373626374,72,0.19718309859154928,120,0.43956043956043955,273
0.6224228085177397,0.82,0.4056603773584906,0.1464968152866242,0.8414634146341463,0.2839506172839506,69,0.18661971830985916,113,0.46502057613168724,243
0.6733821443026756,0.81,0.39622641509433965,0.13800424628450106,0.8292682926829268,0.31627906976744186,68,0.17781690140845072,108,0.5023255813953489,215
0.7127259342272685,0.79,0.37735849056603776,0.1316348195329087,0.8170731707317073,0.3602150537634409,67,0.17077464788732394,104,0.5591397849462365,186
0.7348383782542665,0.77,0.36792452830188677,0.12526539278131635,0.8048780487804879,0.40993788819875776,66,0.1637323943661972,99,0.6149068322981367,161
0.7586054438838838,0.76,0.3490566037735849,0.11889596602972399,0.7926829268292683,0.46099290780141844,65,0.15492957746478872,94,0.6666666666666666,141
0.7918160449099801,0.73,0.32075471698113206,0.10191082802547771,0.7560975609756098,0.5210084033613446,62,0.13380281690140844,84,0.7058823529411765,119
0.8441130285952501,0.58,0.29245283018867924,0.07006369426751592,0.6219512195121951,0.6071428571428571,51,0.10211267605633803,63,0.75,84
0.9391931189181116,0.42,0.22641509433962265,0.050955414012738856,0.4634146341463415,0.7755102040816326,38,0.07042253521126761,43,0.8775510204081632,49
