max_pred,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.9661016949152542,0.4076923076923077,0.183206106870229,0.07005411906193626,0.5352480417754569,205,0.9888888888888889,0.2297650130548303,88,0.3801369863013699,221,0.577023498694517,383
0.15000000000000002,0.9576271186440678,0.4076923076923077,0.183206106870229,0.06524353577871317,0.5571847507331378,190,0.9888888888888889,0.25806451612903225,88,0.3801369863013699,206,0.6041055718475073,341
0.20000000000000004,0.9322033898305084,0.4,0.17557251908396945,0.06133493686109441,0.5857605177993528,181,0.9666666666666667,0.2783171521035599,86,0.3698630136986301,196,0.6343042071197411,309
0.25000000000000006,0.923728813559322,0.4,0.16793893129770993,0.059230306674684305,0.6192170818505338,174,0.9555555555555556,0.302491103202847,85,0.363013698630137,188,0.6690391459074733,281
0.30000000000000004,0.9067796610169492,0.4,0.16793893129770993,0.05622369212266987,0.6547619047619048,165,0.9555555555555556,0.3373015873015873,85,0.363013698630137,178,0.7063492063492064,252
0.3500000000000001,0.8728813559322034,0.3923076923076923,0.15267175572519084,0.05111244738424534,0.669683257918552,148,0.9333333333333333,0.3755656108597285,83,0.3458904109589041,160,0.7239819004524887,221
0.40000000000000013,0.8559322033898306,0.3923076923076923,0.15267175572519084,0.047805171377029464,0.695,139,0.9333333333333333,0.415,83,0.3458904109589041,151,0.755,200
0.45000000000000007,0.847457627118644,0.3923076923076923,0.15267175572519084,0.045700541190619365,0.7135135135135136,132,0.9333333333333333,0.4486486486486487,83,0.3458904109589041,143,0.772972972972973,185
0.5000000000000001,0.8220338983050848,0.36923076923076925,0.1297709923664122,0.04329524954900782,0.7267441860465116,125,0.9111111111111111,0.47093023255813954,81,0.3219178082191781,136,0.7906976744186046,172
0.5500000000000002,0.8050847457627118,0.36153846153846153,0.11450381679389313,0.04028863499699339,0.7515923566878981,118,0.9111111111111111,0.5159235668789809,81,0.3116438356164384,129,0.821656050955414,157
0.6000000000000002,0.7627118644067796,0.36153846153846153,0.11450381679389313,0.03788334335538184,0.7746478873239436,110,0.8777777777777778,0.5492957746478874,78,0.3013698630136986,118,0.8309859154929577,142
0.6500000000000001,0.7288135593220338,0.3384615384615385,0.09923664122137404,0.03517739025856885,0.7786259541984732,102,0.8444444444444444,0.5725190839694656,75,0.2842465753424658,110,0.8396946564885496,131
0.7000000000000002,0.6779661016949152,0.3384615384615385,0.09923664122137404,0.03307276007215875,0.8275862068965517,96,0.8111111111111111,0.6206896551724138,72,0.273972602739726,101,0.8706896551724138,116
0.7500000000000002,0.635593220338983,0.3230769230769231,0.09923664122137404,0.029765484064942876,0.8673469387755102,85,0.7555555555555555,0.6836734693877551,67,0.2534246575342466,90,0.9183673469387755,98
0.8000000000000002,0.6016949152542372,0.2923076923076923,0.09923664122137404,0.026157546602525557,0.872093023255814,75,0.7111111111111111,0.7325581395348837,63,0.2363013698630137,80,0.9302325581395349,86
0.8500000000000002,0.5084745762711864,0.26153846153846155,0.07633587786259542,0.01984365604329525,0.890625,57,0.6333333333333333,0.875,56,0.2054794520547945,62,0.96875,64
0.9000000000000002,0.4067796610169492,0.2153846153846154,0.06870229007633588,0.016536380036079375,0.94,47,0.5222222222222223,0.94,47,0.17123287671232876,50,1.0,50
0.9500000000000003,0.23728813559322035,0.13846153846153847,0.03816793893129771,0.009621166566446182,0.9642857142857143,27,0.3,0.9642857142857143,27,0.09246575342465753,28,1.0,28
